ID,D_ID,U_ID,Speaker,Utterance,Emotion,Label
0,0,0,Joey,"Come on, Lydia, you can do it.",neutral,0
1,0,1,Joey,Push!,joy,1
2,0,2,Joey,"Push 'em out, push 'em out, harder, harder.",joy,1
3,0,3,Joey,"Push 'em out, push 'em out, way out!",joy,1
4,0,4,Joey,"Let's get that ball and really move, hey, hey, ho, ho.",joy,1
5,0,5,Joey,"Let's—  I was just—yeah, right.",joy,0
6,0,6,Joey,Push!,joy,1
7,0,7,Joey,Push!,joy,1
8,1,0,Ross,Okay.,neutral,0
9,1,1,Rachel,"Ross, didn't you say that there was an elevator in here?",neutral,0
10,1,2,Ross,"Uhh, yes I did but there isn't. Okay, here we go.",sadness,1
11,1,3,Ross,"Okay, go left. Left! Left!",surprise,1
12,1,4,Rachel,"Okay, y'know what? There is no more left, left!",anger,1
13,1,5,Ross,"Oh okay, lift it straight up over your head!",anger,0
14,1,6,Ross,Straight up over your head!,anger,0
15,1,7,Ross,You can do it!,joy,0
16,1,8,Ross,You can do it!,joy,0
17,1,9,Ross,Okay.,neutral,0
18,1,10,Ross,You got it?,neutral,0
19,2,0,Phoebe,Ohh!,surprise,0
20,2,1,Monica,What?,neutral,0
21,2,2,Phoebe,It kicked! I think the baby kicked!,surprise,0
22,2,3,Monica,Oh my God!,surprise,0
23,2,4,Phoebe,"Oh no wait, oh no, the elastic on my underwear busted.",neutral,1
24,2,5,Joey,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,0
25,2,6,Monica,"Oh wait, Joey, you can’t go like that! You stink!",disgust,0
26,2,7,Joey,"Look, I know I feel asleep before I could shower and now I don’t have time!",anger,0
27,2,8,Joey,"They’re just ten blocks away, if I run, I can make it.",neutral,1
28,3,0,Chandler,You’re coming on to the entire room!  I’m Chandler.,anger,0
29,3,1,Chandler,Hi.,neutral,0
30,3,2,Marjorie,Hi.,neutral,0
31,3,3,Chandler,You mind if I,neutral,0
32,3,4,Marjorie,"No, please.",neutral,0
33,3,5,Chandler,"So uh, what are you in for?",neutral,0
34,3,6,Marjorie,I talk in my sleep.,neutral,0
35,3,7,Chandler,"What a coincidence, I listen in my sleep.",neutral,1
36,3,8,Joey,So why don’t you give me your number?,neutral,1
37,4,0,Monica,"Yeah, but without the costumes.",neutral,0
38,4,1,Phoebe,Oh.,neutral,0
39,4,2,Joey,"And it’s not fake, it’s totally brutal.",neutral,0
40,4,3,Chandler,"Yeah, it’s two guys in a ring, and the rules are: “They’re",neutral,0
41,4,4,Monica,"So you can like, bite, and pull people’s hair and stuff?",surprise,1
42,4,5,Ross,"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral,0
43,4,6,Monica,What’s fish hooking?,surprise,0
44,4,7,Ross,"Huh, what’s fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral,1
45,4,8,Joey,"What? My hands are totally clean, I just gave the duck a bath.",neutral,1
46,5,0,Phoebe,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,fear,0
47,5,1,Monica,"Oh well, it’s not so bad.",neutral,0
48,5,2,Fireman #1,"Yeah, most of the damage is pretty mostly contained in the bedrooms.",sadness,0
49,5,3,Phoebe,Oh!,surprise,0
50,5,4,Rachel,My God!,surprise,0
51,5,5,Joey,"Hey buddy, do you think I can borrow your uniform this Thursday?",neutral,1
52,5,6,Fireman #1,Excuse me?,surprise,0
53,5,7,Monica,Joey! He’s working!  You would look,anger,1
