ID,D_ID,U_ID,Speaker,Utterance,Label
0,0,0,和平,爸，时候可不早了啊您还不上对门儿问问胡伯伯电话打了没有啊,0
1,0,1,傅明,问什么 有结果他自然应该跑来告诉我,0
2,0,2,和平,人家干嘛应该呀  这可是咱们求人家的事儿,0
3,0,3,傅明,什么咱们求人家  谁求他了我是派他去办一办事！,0
4,0,4,傅明,我让他办事儿那是瞧的起他,0
5,0,5,傅明,这要是搁过去就他想我办事儿 门儿都没有,1
6,0,6,和平,就您这态度，搁我我都不管您,0
7,0,7,圆圆,搁我也不管您,0
8,0,8,和平,真是,0
9,0,9,胡学范,我管你老傅！,0
10,0,10,和平,嘿，胡伯伯,0
11,0,11,胡学范,都谈妥了啦，马上就放人！,0
12,0,12,傅明,好好好好，老胡啊看不出来你这几年进步还是很快嘛,1
13,0,13,傅明,啊好好干，再有这个三年五年的又变一个新人啦,1
14,0,14,胡学范,合着我忙活半天就落这么一句评语呀,0
15,0,15,胡学范,我早知道我不管你的事儿！,0
16,0,16,和平,胡伯伯胡伯伯，您甭理他,0
17,0,17,和平,胡伯您给我们讲讲您怎么办的呀,0
18,0,18,傅明,办都办了，还讲他干嘛,1
19,0,19,胡学范,我偏讲我偏讲我偏讲！,0
20,0,20,和平,真是的,0
21,0,21,胡学范,人家告诉我，当时车里头是四个人,0
22,0,22,和平,噢，四个人,0
23,0,23,胡学范,一个总经理，两个副总经理还一跟班儿的就是那广东话叫什么马仔,0
24,0,24,胡学范,这四个人都没驾驶执照，出了事儿还一个都不承认，怎么办呢全扣起来了,1
25,0,25,胡学范,我跟人家保证我说我们老傅家儿子他叫什么我现在记不清了反正是那总经理呗,0
26,0,26,胡学范,我可是看着他长大的绝不会干这种事儿,0
27,0,27,胡学范,人家说了，行，马上调查弄好了，明天就放,0
28,0,28,傅明,好好好好唉！,0
29,0,29,傅明,谁让你放那个总经理啦,0
30,0,30,傅明,我儿子是那那个跟班儿的,1
31,0,31,傅明,就是那个马仔,1
32,0,32,胡学范,你明明跟我说你儿子是总经理今天早上你还说呢！,0
33,0,33,和平,爸！您怎么吹牛也不挑个时候啊,1
34,0,34,傅明,我怎么是吹牛呐,0
35,0,35,傅明,他现在还不是总经理将来还有发展嘛,1
36,0,36,傅明,老胡你看看你，也不把事情搞清楚瞎打电话，这不耽误事嘛,0
37,0,37,傅明,教训啊教训！,1
38,0,38,胡学范,你的教训怎么成了我的教训了！,0
39,0,39,傅明,好啦好啦，事情既然已经这样了我们就不要再互相追查责任啦,1
40,0,40,傅明,马上去打一个电话立刻扣住那个总经理，放出马仔来,0
41,0,41,胡学范,我管的了么我我又不是公安局长我说放谁就放谁呀,1
42,1,0,调解阿姨,不是我偏向女同志说你家庭当中啊，这夫妻之间发生什么事情男同志也不能动手打人呐,0
43,1,1,家暴女,就是,0
44,1,2,调解阿姨,你看看你看这个小爱人这个身体，这么弱不禁风的你要把她打坏了，可怎么好啊？,1
45,1,3,家暴女,不不，不是他打我你敢打我吗？反了你了,1
46,1,4,家暴女,是他呀，趁着我不在的时候勾搭小女孩,0
47,1,5,调解阿姨,他打牌呀？,1
48,1,6,调解阿姨,打牌可不好,1
49,1,7,调解阿姨,你耽误工作不说吧，你看要是警察，,0
50,1,8,家暴女,不是，他勾引小保姆,0
51,1,9,调解阿姨,警察来抓赌啊？,1
52,1,10,调解阿姨,你看我说什么来着？是不是？,0
53,1,11,家暴女,她才十七八,0
54,1,12,调解阿姨,他打二四八？,1
55,1,13,调解阿姨,那太大了要玩儿啊就玩儿那个幺二四分的大包庄啊,1
56,1,14,家暴女,你真是打岔,0
57,1,15,调解阿姨,还要打架？,1
58,1,16,调解阿姨,这可就不好了这个赌钱嘛，不好他可以改呀,0
59,1,17,调解阿姨,当年我们那老头子就是由赌钱改去抽大烟了嘛,1
60,1,18,和平,大妈,0
61,1,19,调解阿姨,你们来了,0
62,1,20,和平,我跟您问问,0
63,1,21,调解阿姨,请坐，请坐，等一等我们有个先来后到，我这儿一对一对解决请坐，请坐,0
64,1,22,调解阿姨,我，说到哪儿了？,0
65,1,23,被家暴男,抽大烟,0
66,1,24,被家暴男,我说，咱们呀，还是回去私了吧我说，我真没，,0
67,1,25,被家暴男,得得得，我豁出去再跪一回暖气片儿，行不行？,1
68,1,26,家暴女,我量你也有这贼心，没这贼胆儿,0
69,1,27,家暴女,好啊，今天碰着了这么一个真“聋”天子啊,1
70,1,28,家暴女,好吧,0
71,2,0,孟朝阳,贾小姐，请您一定得原谅我我实在是因为一时糊涂所以，,0
72,2,1,孟朝阳,您就狠狠地狠狠地批评我吧,1
73,2,2,小凡,我批评得着你么我根本就不认识你,0
74,2,3,孟朝阳,您这么说就不实事求是了吧咱俩今天下午刚在这儿认识的么,0
75,2,4,孟朝阳,再说我哥哥还当过您的老师呢,0
76,2,5,小凡,那孟老师来找你来干嘛的咱们俩事先讲清楚没有,0
77,2,6,小凡,凭什么你到我家又变卦了,0
78,2,7,小凡,你要是搅黄了我出国的事儿  你负得起负责么,0
79,2,8,孟朝阳,我不是这意思,0
80,2,9,孟朝阳,我就是 我就是舍不得你走,1
81,2,10,小凡,奇怪，你凭什么舍不得我走啊我跟你有什么关系,0
82,2,11,孟朝阳,怎么就没有关系呀,0
83,2,12,孟朝阳,现在是没什么关系，那以后就不兴有那么点儿,1
84,2,13,孟朝阳,你怎么就不明白呀,0
85,2,14,小凡,我当然不明白了,0
86,2,15,孟朝阳,我的意思是说从古至今，这弄假成真的事儿也不少了,0
87,2,16,孟朝阳,你还用我一一地给你举出例子来么,0
88,2,17,小凡,弄假成真噢 明白了,0
89,2,18,小凡,我现在根本就不想考虑这些问题,0
90,2,19,孟朝阳,你怎么就不能考虑考虑呢,0
91,2,20,小凡,我记得有一位大人物曾经说过,0
92,2,21,小凡,我们现在都还年轻应该把主要精力放在工作和学习上嘛,1
93,2,22,小凡,过早就考虑这些问题是没有什么好处的,1
94,2,23,孟朝阳,这是谁说的！,0
95,2,24,孟朝阳,我当面我就敢骂他！,1
96,2,25,孟朝阳,他懂什么呀他,1
97,2,26,孟朝阳,不对，我怎么听着这话有点耳熟呀这话,1
98,2,27,孟朝阳,是不是我今天下午在你们家说来着,0
99,2,28,小凡,知道就好,0
100,2,29,孟朝阳,这么说吧贾小姐就是 假如您要是考虑这个问题的话我是不是还有点儿希望,0
101,2,30,孟朝阳,你也别不好意思你就大大方方地告诉我,1
102,2,31,小凡,我有什么不好意思的我告诉你,0
103,2,32,小凡,行，你先站稳了我告诉你,0
104,2,33,孟朝阳,行，您您您您说吧,0
105,2,34,孟朝阳,我记着离这儿不远有条小河估计也就有一人多深,0
106,2,35,孟朝阳,反正我也不会游泳您看，您该怎么说您就说吧,1
107,2,36,小凡,我从来就没见过像你这么赖的人,0
108,2,37,小凡,离我远点儿！,0
109,2,38,小凡,告诉你啊，看在孟教师面子上我这次不跟计较了，再给你一次机会,0
110,2,39,小凡,你到我家去，替我挽回损失,0
111,2,40,孟朝阳,没问题！您让我干什么都没问题！,0
112,2,41,孟朝阳,但是您得告诉你，我到底有没有希望,1
113,2,42,孟朝阳,希望！您就给我点儿希望还不行么,0
114,2,43,孟朝阳,这人要是没希望，活着多没劲呢,1
115,2,44,小凡,那你让我怎么说呀将来的事儿谁能说的准啊,0
116,2,45,小凡,在这个世界上，什么事儿都有可能发生,0
117,2,46,小凡,所以，不能说你一点儿希望都没有,0
118,2,47,孟朝阳,成嘞！要的就是这句话,0
119,2,48,孟朝阳,你不能说我没希望那就是说我有希望啦！,1
120,2,49,孟朝阳,你就放心吧，你就放心地去美国吧,0
121,2,50,孟朝阳,我等到你八十岁我也等着你,1
122,2,51,小凡,我根本就不是这个意思！,0
123,2,52,孟朝阳,你也别瞒着腋着了 你的意思我明白了你就放心地去吧！,1
124,2,53,小凡,我放心地了么我！,0
125,2,54,小凡,我你你你千万别等我，我根本就不，,0
126,2,55,孟朝阳,我告诉你男子汉说话算数我说等你我一定等你,1
127,2,56,小凡, 你让我解释清楚,0
128,2,57,孟朝阳,这有什么可解释清楚的呀,1
129,2,58,孟朝阳,天儿不早了我也该回家了，明儿见！,0
130,2,59,小凡,不行不行不行  你让我把话说完！,0
131,2,60,孟朝阳,天这么晚了又是在公园儿里拉拉扯扯你让人看见这多不好啊,1
132,2,61,孟朝阳,知道的，咱俩是谈恋爱的,0
133,2,62,孟朝阳,不知道的，还以为我抢你钱包儿了,1
134,2,63,小凡,谁跟你谈恋爱了！,0
135,2,64,孟朝阳,你的意思是说咱俩不用谈就定了那多不合适啊,1
136,2,65,孟朝阳,咱们怎么着也得有一个了解的过程啊,1
137,2,66,孟朝阳,你不跟我谈，我还得跟你谈呢,0
138,2,67,小凡,谁不跟你谈了啊,0
139,2,68,小凡,我我是要跟你谈，我不是要跟你谈， 我,1
140,2,69,小凡,我，我，急死我啦！,1
141,3,0,傅明,岂有此理我在外面儿开计划生育工作会议,1
142,3,1,傅明,你们倒把超生游击队给搞到家里头来了说 谁的主谋谁的胁从,1
143,3,2,志国,我揭发主谋是和平还有朝阳和圆圆一块儿干的,1
144,3,3,志国,我一直和他们坚持面对面的斗争,1
145,3,4,傅明,为什么不早向我汇报呢,0
146,3,5,志国,我不是看您这两天开会挺忙的么,0
147,3,6,傅明,再忙能够忙过这件事情吗我在外面开会也是为了计划生育嘛,0
148,3,7,志国,再说我也怕您听了生气呀我开始觉得他们弄不起来,0
149,3,8,志国,后来谁知他们越弄越当真了我一看情况比较严重这不就赶紧向您反映啦,0
150,3,9,傅明,说说他们在具体计划什么,0
151,3,10,志国,开始是想冒充少数民族,1
152,3,11,傅明,怪不得和平这几天她总是跟我打听呢,0
153,3,12,志国,后来又想用假离婚的方法,0
154,3,13,傅明,这简直是骇人听闻嘛,0
155,3,14,志国,还说 实在不行就干脆到农村愣生下来,0
156,3,15,傅明,哼 这简直还有没有王法了,1
157,3,16,志国,现在又想让圆圆,0
